From,To,Sign
Community physical environment,PA,+
Descriptive norms outside family,PA,+
Dog ownership,PA,+
Emotional support,PA,+
Family SB modeling,PA,-
Family SES,PA,NA
Family cohesion,PA,NA
Family interest in SB activities,PA,-
Family logistical support,PA,+
Flexibility in roles,PA,+
Home physical environment,PA,+
Inclusive gender/cultural norms,PA,NA
Informational support,PA,+
Injunctive norms,PA,+
Negative social control,PA,+
Passive transport availability,PA,+
Physical environment safety,PA,+
Regulatory support in family,PA,+
Shared SB in the family,PA,-
"Shared chores, home environment",PA,+
Verbal encouragement,PA,+
PA,Community physical environment,NA
PA,Descriptive norms outside family,+
PA,Dog ownership,NA
PA,Emotional support,+
PA,Family SB modeling,-
PA,Family SES,NA
PA,Family cohesion,+
PA,Family interest in SB activities,-
PA,Family logistical support,NA
PA,Flexibility in roles,-
PA,Home physical environment,NA
PA,Inclusive gender/cultural norms,NA
PA,Informational support,NA
PA,Injunctive norms,+
PA,Negative social control,-
PA,Passive transport availability,NA
PA,Physical environment safety,NA
PA,Regulatory support in family,-
PA,Shared SB in the family,-
PA,"Shared chores, home environment",-
PA,Verbal encouragement,NA
